tier,top_wood,back_wood,video_url
L,Acacia,Acacia,"[URL=""https://www.youtube.com/watch?v=Vs5t3ISGJoM""]YouTube[/URL]"
L,Mahogany,Mahogany,"[URL=""https://www.youtube.com/watch?v=Nj-WvhE59Ek""]YouTube[/URL]"
L,Mango,Mango,"[URL=""https://www.youtube.com/watch?v=-a8Htsage2c""]YouTube[/URL]"
L1,Acacia,Acacia,"[URL=""https://www.youtube.com/watch?v=qIKqcWcqiIg""]YouTube[/URL]"
L1,Cedar,Acacia,"[URL=""https://www.youtube.com/watch?v=MNqIXfH0Spg""]YouTube[/URL]"
L1,Mango,Mango,"[URL=""https://www.youtube.com/watch?v=qYeqrVREuWo""]YouTube[/URL]"
L1,Myrtle,Myrtle,"[URL=""https://www.youtube.com/watch?v=Ky1eEG5qC6Y""]YouTube[/URL]"
L1,Sitka Spruce,Myrtle,"[URL=""https://www.youtube.com/watch?v=E15bbTv257c""]YouTube[/URL]"
L1,Spruce,Acacia,"[URL=""https://www.youtube.com/watch?v=b6DkAEx4_Qk""]YouTube[/URL]"
L1,Spruce,Merbau,"[URL=""https://www.youtube.com/watch?v=3Og2_nBuHUs""]YouTube[/URL]"
L1,Spruce,Waru,"[URL=""https://www.youtube.com/watch?v=bWtYd3jsuNs""]YouTube[/URL]"
L2,Cedar,Acacia,"[URL=""https://www.youtube.com/watch?v=kGD-EnRr8D8""]YouTube[/URL]"
L2,Cedar,Macassar Ebony,"[URL=""https://www.youtube.com/watch?v=EkK-cy3vWPg""]YouTube[/URL]"
L2,Cedar,Rosewood,"[URL=""https://www.youtube.com/watch?v=KGmCxXLAF-k""]YouTube[/URL]"
L2,Flame Maple,Flame Maple,"[URL=""https://www.youtube.com/watch?v=ur06v3xohPA""]YouTube[/URL]"
L2,Koa,Koa,"[URL=""https://www.youtube.com/watch?v=MIcsswpxyHA""]YouTube[/URL]"
L2,Koa,Macassar Ebony,"[URL=""https://www.youtube.com/watch?v=NYBejTZgJfw""]YouTube[/URL]"
L2,Mango,Mango,"[URL=""https://www.youtube.com/watch?v=FNnqQK0mMAk""]YouTube[/URL]"
L2,Myrtle,Myrtle,"[URL=""https://www.youtube.com/watch?v=zRfaN-XZgVE""]YouTube[/URL]"
L2,Port Orford Cedar,Macassar Ebony,"[URL=""https://www.youtube.com/watch?v=IZzmmRcxLfI""]YouTube[/URL]"
L2,Quilted Maple,Quilted Maple,"[URL=""https://www.youtube.com/watch?v=wemORgz-3uU""]YouTube[/URL]"
L2,Spruce,Acacia,"[URL=""https://www.youtube.com/watch?v=Yk98tlUrQwM""]YouTube[/URL]"
L2,Spruce,Flame Maple,"[URL=""https://www.youtube.com/watch?v=ef-xKFHbLrE""]YouTube[/URL]"
L2,Spruce,Macassar Ebony,"[URL=""https://www.youtube.com/watch?v=rqkz_lvH1bU""]YouTube[/URL]"
L2,Spruce,Quilted Maple,"[URL=""https://www.youtube.com/watch?v=ygsknEQj5NI""]YouTube[/URL]"
L2,Spruce,Rosewood,"[URL=""https://www.youtube.com/watch?v=hCxYl6e-vdQ""]YouTube[/URL]"
L2,Torrefied spruce,Acacia,"[URL=""https://www.youtube.com/watch?v=eUGEsySF4Lw""]YouTube[/URL]"
X1,Acacia,Acacia,"[URL=""https://www.youtube.com/watch?v=5IZdzUMe5x4""]YouTube[/URL]"
X1,Mahogany,Mahogany,"[URL=""https://www.youtube.com/watch?v=ThOI0LKaPbA""]YouTube[/URL]"
X1,Mango,Mango,"[URL=""https://www.youtube.com/watch?v=LfqxLk3KdI0""]YouTube[/URL]"
